month,division,line,day_type,reporting_category,subcategory,delays
2023-12-01,A DIVISION,1,1,Crew Availability,Crew Availability,221
2023-12-01,A DIVISION,1,1,External Factors,External Agency or Utility,13
2023-12-01,A DIVISION,1,1,External Factors,External Debris on Roadbed,113
2023-12-01,A DIVISION,1,1,Infrastructure & Equipment,Braking,24
2023-12-01,A DIVISION,1,1,Infrastructure & Equipment,Door-Related,39
2023-12-01,A DIVISION,1,1,Infrastructure & Equipment,"Fire, Smoke, Debris",61
2023-12-01,A DIVISION,1,1,Infrastructure & Equipment,Other - CE,34
2023-12-01,A DIVISION,1,1,Infrastructure & Equipment,Other Infrastructure,11
2023-12-01,A DIVISION,1,1,Infrastructure & Equipment,Other Internal Disruptions,17
2023-12-01,A DIVISION,1,1,Infrastructure & Equipment,Other - Sig,88
2023-12-01,A DIVISION,1,1,Infrastructure & Equipment,Propulsion,5
2023-12-01,A DIVISION,1,1,Infrastructure & Equipment,Rail and Roadbed,66
2023-12-01,A DIVISION,1,1,Infrastructure & Equipment,Service Delivery,16
2023-12-01,A DIVISION,1,1,Operating Conditions,,426
2023-12-01,A DIVISION,1,1,Planned ROW Work,Capital Work - Other Planned ROW,23
2023-12-01,A DIVISION,1,1,Planned ROW Work,Subways Maintenance,354
2023-12-01,A DIVISION,1,1,Planned ROW Work,Work Equipment,5
2023-12-01,A DIVISION,1,1,Police & Medical,Persons on Roadbed,30
2023-12-01,A DIVISION,1,1,Police & Medical,"Public Conduct, Crime, Police Response",432
2023-12-01,A DIVISION,1,1,Police & Medical,Sick/Injured Customer,65
2023-12-01,A DIVISION,1,2,Crew Availability,Crew Availability,92
2023-12-01,A DIVISION,1,2,External Factors,External Agency or Utility,29
2023-12-01,A DIVISION,1,2,Infrastructure & Equipment,Braking,3
2023-12-01,A DIVISION,1,2,Infrastructure & Equipment,Door-Related,3
2023-12-01,A DIVISION,1,2,Infrastructure & Equipment,Other - Sig,45
2023-12-01,A DIVISION,1,2,Infrastructure & Equipment,Propulsion,13
2023-12-01,A DIVISION,1,2,Infrastructure & Equipment,Rail and Roadbed,12
2023-12-01,A DIVISION,1,2,Infrastructure & Equipment,Service Delivery,9
2023-12-01,A DIVISION,1,2,Infrastructure & Equipment,Train Brake Activation - Cause Unknown,10
2023-12-01,A DIVISION,1,2,Operating Conditions,,122
2023-12-01,A DIVISION,1,2,Planned ROW Work,Capital Work - Other Planned ROW,3
2023-12-01,A DIVISION,1,2,Planned ROW Work,Subways Maintenance,40
2023-12-01,A DIVISION,1,2,Police & Medical,Persons on Roadbed,13
2023-12-01,A DIVISION,1,2,Police & Medical,"Public Conduct, Crime, Police Response",82
2023-12-01,A DIVISION,1,2,Police & Medical,Sick/Injured Customer,15
2023-12-01,A DIVISION,2,1,Crew Availability,Crew Availability,241
2023-12-01,A DIVISION,2,1,External Factors,External Agency or Utility,20
2023-12-01,A DIVISION,2,1,External Factors,External Debris on Roadbed,10
2023-12-01,A DIVISION,2,1,External Factors,Inclement Weather,1
